10|0;8;2;2;8;6;9;5;9;0
20|10;8;12;12;18;16;9;5;19;10;15;11;19;0;6;18;7;5;17;10
30|0;18;12;2;8;16;9;5;29;10;25;21;9;0;26;28;7;5;27;0;24;26;14;15;3;6;28;1;23;29
40|30;8;12;32;18;16;9;25;39;10;15;31;39;20;6;38;27;5;17;10;24;6;14;35;13;16;28;21;33;9;34;26;31;10;2;33;33;23;39;28
50|0;18;22;22;38;26;49;35;49;0;35;41;19;40;16;28;27;5;47;0;24;36;24;35;43;16;38;1;3;29;24;46;1;30;32;13;3;33;19;18;5;47;18;28;38;22;6;49;30;27
60|30;48;12;32;38;16;9;5;59;10;55;51;39;0;26;58;7;5;57;30;24;26;14;15;33;36;28;1;53;29;14;46;31;10;42;33;53;43;19;28;35;7;8;28;18;22;56;49;50;57;11;34;24;31;24;47;2;24;20;20
70|40;48;42;22;48;36;69;45;59;50;15;11;69;10;46;38;67;15;27;60;4;16;4;15;33;56;68;41;3;69;34;6;41;50;32;3;43;33;39;38;65;47;48;28;58;32;46;49;50;17;51;34;24;11;34;57;22;64;50;10;33;33;30;27;2;42;43;3;65;24
80|30;8;12;72;18;16;9;25;79;50;15;71;39;60;6;78;27;5;57;10;24;46;54;75;13;56;68;61;33;49;34;66;71;50;42;33;33;23;79;28;75;67;8;68;58;42;36;29;10;17;51;34;24;51;44;7;42;44;0;40;43;23;0;17;32;12;23;53;5;24;70;55;51;26;20;27;15;17;19;29
90|30;78;42;32;38;76;9;65;29;70;25;51;9;0;26;58;37;5;27;60;54;56;74;75;3;36;28;61;83;29;14;46;1;70;42;3;23;13;49;58;35;37;38;58;18;52;86;49;80;57;41;34;54;31;84;17;2;54;80;80;13;83;40;37;72;72;13;63;5;54;50;85;1;6;50;17;35;87;19;59;18;57;21;54;1;66;35;13;70;86
100|50;68;72;72;38;76;49;85;99;50;35;91;19;40;66;78;27;5;97;50;24;86;74;35;93;16;88;1;53;29;74;46;51;30;82;13;53;83;19;68;55;47;68;28;38;22;56;49;30;77;31;14;24;51;84;47;62;84;0;60;83;63;0;97;12;52;83;33;65;24;70;15;51;86;40;7;15;17;79;9;68;77;71;14;1;16;15;23;70;66;91;42;79;11;55;88;4;55;2;13
